,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Rooms_outlier,HouseFloor_outlier,HouseYear_outlier,LifeSquare_nan,DistrictSize,new_district,IsDistrictLarge,MedPriceByDistrict,MedPriceByFloorYear,Price
0,2.0,49.8826433899298,33.43278170333575,6.0,6,14.0,1972,0.31019913,1,1,11,2748,1,0,0,1,0,0,0,0,106.0,0,1,162550.15731117668,192538.8720151198,154002.1106040512
1,2.0,69.26318347353308,63.263183473533076,3.0,1,1.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,1,0,1,79.0,0,0,240307.89503096056,178342.56686107177,206459.51002649337
2,1.0,13.597818501304127,15.94824639560224,12.0,2,5.0,1909,0.0,1,1,30,7538,87,5,5,1,0,0,0,0,3.0,0,0,243250.62331044863,262279.81391450414,237078.6591892954
3,2.0,73.04660921472451,51.940841981703706,9.0,22,22.0,2007,0.101872465,1,1,23,4583,3,3,3,1,0,0,0,0,66.0,0,0,228796.54255505843,234885.52718597956,298639.94290829
4,1.0,47.52711070587538,43.38756921064506,3.0,17,17.0,2017,0.072157581,1,1,2,629,1,0,0,0,0,0,0,0,578.0,0,1,117801.20493288733,218538.048236916,148770.5792385425
5,1.0,40.67562653962813,34.67562653962813,3.0,21,21.0,1977,0.049637257,1,1,34,7759,0,1,3,1,0,0,0,1,104.0,0,1,191641.67652114877,175836.38525932154,208093.83454274165
6,2.0,68.09953793820145,64.84302502745639,3.0,2,17.0,1977,0.075778755,1,1,6,1437,3,0,2,1,0,0,0,0,377.0,0,1,143681.1841476016,180026.27472052464,171325.26999776557
7,2.0,48.1938974168817,32.857643514967585,6.0,5,14.0,1972,0.135649789,1,1,46,7960,6,3,11,1,0,0,0,0,18.0,0,0,232872.4736133856,188753.1630208684,228571.66800280887
8,3.0,72.2771063144917,45.96875827731828,9.0,17,17.0,1997,0.041116354,1,1,53,14892,4,1,4,1,0,0,0,0,45.0,0,0,308119.3964254637,266407.1771777748,316176.3006233258
9,3.0,80.21939967207726,47.66025964450599,9.0,13,17.0,2014,0.2432045189999999,1,1,5,1564,0,0,0,1,0,0,0,0,333.0,0,1,215450.1170981757,173987.19085325956,212135.40467682772
